# Thai word frequencies extracted from Thai Wikipedia
# Source: https://huggingface.co/datasets/pythainlp/thai-wiki-dataset-v3
# License: CC BY-SA 4.0 — https://creativecommons.org/licenses/by-sa/4.0/
# Segmented with kham (https://github.com/preedep/kham)
# Articles processed: 500
# Format: word<TAB>count  (sorted by count descending)
# NOTE: Keep this file SEPARATE from tnc_freq.txt (which is CC0).
#       Do not merge — different licenses.
วะ	77
เลือด	77
ลุง	76
พิมพ์	76
นักวิทยาศาสตร์	76
เคมบริดจ์	76
บอ	76
ทวีปยุโรป	76
รางวัลโนเบล	76
พุทธศักราช	76
บท	76
สีเหลือง	76
ศรีลังกา	76
ร้อน	75
ตัวอย่างเช่น	75
เข้าใจ	75
ขึ้นอยู่กับ	75
มุมมอง	75
ก่อให้เกิด	75
ปล่อย	75
ทางใต้	75
รุกราน	75
รายใหญ่	75
ยืม	75
ทำลาย	75
ภูฏาน	75
ดะ	75
ศึก	75
ที่มา	74
ปฏิเสธ	74
เป็นผล	74
หลายครั้ง	74
ส่วนมาก	74
ใช้งาน	74
ทิ	74
เป็นเรื่อง	74
ขึ้นไป	74
มุ	74
เนี	74
ภาคเหนือ	74
เดี	74
ประกาศใช้	74
เต็ม	74
มองโกเลีย	74
บันเทิงคดี	74
งบประมาณ	73
เสรีภาพ	73
คลาสสิก	73
ภายในประเทศ	73
ผู้หญิง	73
ความเร็ว	73
กรม	73
ลงมา	73
กุล	73
อาการ	73
งะ	73
ลั	72
เย็น	72
เท่า	72
การใช้งาน	72
การควบคุม	72
นิติบัญญัติ	72
ไฮ	72
โคน	72
ศิลปิน	72
วิจิตร	72
มั	72
เคลื่อนที่	71
รูปร่าง	71
เป็นที่นิยม	71
ความพยายาม	71
อิเล็กทรอนิกส์	71
ที	71
อาคาร	71
วิชาการ	71
กึ่ง	71
เป็นต้นมา	70
เกษตรกรรม	70
ปรับปรุง	70
เช	70
เหมาะสม	70
ลำดับ	70
นำมาใช้	70
ก่อ	70
ไซ	70
ประโยชน์	70
อัฟกานิสถาน	70
กระตุ้น	70
สัญญา	70
ฯลฯ	70
พระพุทธเจ้า	70
เกะ	70
ต่ำกว่า	69
ยุติ	69
กรุงเทพมหานคร	69
สติ	69
แช	69
แปลง	69
บางคน	69
อิสลาม	69
ประชุม	69
ท่าอากาศยาน	69
แซ	69
โทรทัศน์	69
โขง	69
ลินุกซ์	69
เขตร้อน	69
อพยพ	69
กริยา	69
ความเชื่อ	68
พร้อมกับ	68
จำเป็นต้อง	68
หอ	68
ฟิ	68
เลน	68
หมด	68
วน	68
ทางวัฒนธรรม	68
ขาย	68
มหาวิทยาลัยธรรมศาสตร์	68
เชื่อมต่อ	68
แลกเปลี่ยน	68
ประจำชาติ	68
ไฟ	68
ศาสนาคริสต์	68
ศาสนาอิสลาม	68
นักประวัติศาสตร์	68
ทันที	68
กระบี่	68
แหลม	68
ความร้อน	67
ซับซ้อน	67
ซ้ำ	67
คาร์	67
วัสดุ	67
ประเด็น	67
ทางสังคม	67
จำหน่าย	67
คลอง	67
ขั้นตอนวิธี	67
หัวใจ	67
ประการ	67
พันธมิตร	67
อาณาเขต	67
เจรจา	67
บิน	67
แก	67
ประจำปี	67
ใช้กับ	67
ยอ	67
